date,cases
26-Feb-20,1
27-Feb-20,0
28-Feb-20,0
29-Feb-20,0
1-Mar-20,0
2-Mar-20,0
3-Mar-20,0
4-Mar-20,0
5-Mar-20,0
6-Mar-20,1
7-Mar-20,0
8-Mar-20,0
9-Mar-20,5
10-Mar-20,0
11-Mar-20,2
12-Mar-20,0
13-Mar-20,4
14-Mar-20,6
15-Mar-20,0
16-Mar-20,5
17-Mar-20,12
18-Mar-20,12
19-Mar-20,20
20-Mar-20,9
21-Mar-20,9
22-Mar-20,29
23-Mar-20,22
24-Mar-20,12
25-Mar-20,29
26-Mar-20,24
27-Mar-20,18
28-Mar-20,22
29-Mar-20,18
30-Mar-20,26
31-Mar-20,44
1-Apr-20,24
2-Apr-20,30
3-Apr-20,46
4-Apr-20,53
5-Apr-20,72
6-Apr-20,15
7-Apr-20,29
8-Apr-20,18
9-Apr-20,46
10-Apr-20,48
11-Apr-20,49
12-Apr-20,68
13-Apr-20,28
14-Apr-20,58
15-Apr-20,66
16-Apr-20,107
17-Apr-20,36
18-Apr-20,53
19-Apr-20,37
20-Apr-20,18
21-Apr-20,7
22-Apr-20,28
23-Apr-20,41
24-Apr-20,26
25-Apr-20,41
26-Apr-20,19
27-Apr-20,13
28-Apr-20,22
29-Apr-20,21
30-Apr-20,23
1-May-20,29
2-May-20,15
3-May-20,5
4-May-20,7
5-May-20,8
6-May-20,13
7-May-20,33
8-May-20,14
9-May-20,36
10-May-20,20
11-May-20,22
12-May-20,10
13-May-20,20
